ms,VoLi_s,VoLi_i,VoLi_pwm,VoRe_s,VoRe_i,VoRe_pwm,HiLi_s,HiLi_i,HiLi_pwm,HiRe_s,HiRe_i,HiRe_pwm
0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
100.0,0.3,0.18,176.0,0.3,0.16,163.0,0.3,0.16,179.0,0.3,0.12,180.0
200.0,0.3,0.29,125.0,0.3,0.24,134.0,0.3,0.29,124.0,0.3,0.29,109.0
300.0,0.3,0.3,123.0,0.3,0.24,140.0,0.3,0.29,116.0,0.3,0.3,91.0
400.0,0.3,0.31,118.0,0.3,0.26,137.0,0.3,0.3,119.0,0.3,0.32,94.0
500.0,0.3,0.31,116.0,0.3,0.27,138.0,0.3,0.31,111.0,0.3,0.32,86.0
600.0,0.3,0.3,114.0,0.3,0.27,138.0,0.3,0.3,106.0,0.3,0.3,88.0
700.0,0.3,0.31,120.0,0.3,0.29,142.0,0.3,0.31,110.0,0.3,0.31,91.0
800.0,0.3,0.31,114.0,0.3,0.29,140.0,0.3,0.31,107.0,0.3,0.31,86.0
900.0,0.3,0.31,110.0,0.3,0.28,135.0,0.3,0.3,106.0,0.3,0.3,85.0
1000.0,0.3,0.3,117.0,0.3,0.3,137.0,0.3,0.31,110.0,0.3,0.31,89.0
1100.0,0.3,0.31,112.0,0.3,0.3,137.0,0.3,0.29,108.0,0.3,0.3,89.0
1200.0,0.3,0.31,108.0,0.3,0.29,135.0,0.3,0.3,104.0,0.3,0.3,85.0
1300.0,0.3,0.31,114.0,0.3,0.31,138.0,0.3,0.31,111.0,0.3,0.3,89.0
1400.0,0.3,0.31,106.0,0.3,0.31,135.0,0.3,0.31,107.0,0.3,0.3,86.0
1500.0,0.3,0.3,103.0,0.3,0.3,134.0,0.3,0.3,104.0,0.3,0.3,85.0
1600.0,0.3,0.3,114.0,0.3,0.3,133.0,0.3,0.3,110.0,0.3,0.3,90.0
1701.0,0.3,0.31,111.0,0.3,0.3,135.0,0.3,0.29,106.0,0.3,0.29,87.0
1801.0,0.3,0.3,112.0,0.3,0.3,136.0,0.3,0.3,104.0,0.3,0.3,85.0
1901.0,0.3,0.31,109.0,0.3,0.3,132.0,0.3,0.3,107.0,0.3,0.3,90.0
